global_idx,tree_idx,node_idx,left_idx,right_idx,split_value,feature_idx,is_leaf,label
7432,29,8,7433,7434,0.842168,0,0,0
7433,29,9,7435,7436,0.775574,0,0,0
7434,29,10,-1,-1,256.000000,-1,1,1
7435,29,11,-1,-1,256.000000,-1,1,1
7436,29,12,-1,-1,256.000000,-1,1,0
7680,30,0,7681,7682,0.741064,4,0,0
7681,30,1,7683,7684,0.562513,4,0,0
7682,30,2,7685,7686,0.509041,0,0,0
7683,30,3,-1,-1,256.000000,-1,1,0
7684,30,4,7687,7688,0.679169,4,0,0
7685,30,5,-1,-1,256.000000,-1,1,0
7686,30,6,7689,7690,0.077932,1,0,0
7687,30,7,7691,7692,0.591416,4,0,0
7688,30,8,7693,7694,0.838776,0,0,0
7689,30,9,-1,-1,256.000000,-1,1,1
7690,30,10,7695,7696,0.653577,0,0,0
7691,30,11,7697,7698,0.588702,4,0,0
7692,30,12,-1,-1,256.000000,-1,1,1
7693,30,13,7699,7700,0.717981,0,0,0
7694,30,14,-1,-1,256.000000,-1,1,1
7695,30,15,-1,-1,256.000000,-1,1,1
7696,30,16,-1,-1,256.000000,-1,1,0
7697,30,17,-1,-1,256.000000,-1,1,1
7698,30,18,7701,7702,0.359239,0,0,0
7699,30,19,-1,-1,256.000000,-1,1,1
7700,30,20,-1,-1,256.000000,-1,1,0
7701,30,21,-1,-1,256.000000,-1,1,1
7702,30,22,7703,7704,0.384613,0,0,0
7703,30,23,-1,-1,256.000000,-1,1,0
7704,30,24,-1,-1,256.000000,-1,1,1
7936,31,0,7937,7938,0.742300,4,0,0
7937,31,1,7939,7940,0.562513,4,0,0
7938,31,2,7941,7942,0.515131,0,0,0
7939,31,3,-1,-1,256.000000,-1,1,0
7940,31,4,-1,-1,256.000000,-1,1,1
7941,31,5,-1,-1,256.000000,-1,1,0
7942,31,6,7943,7944,0.885936,3,0,0
7943,31,7,7945,7946,0.781983,0,0,0
7944,31,8,-1,-1,256.000000,-1,1,1
7945,31,9,-1,-1,256.000000,-1,1,1
7946,31,10,-1,-1,256.000000,-1,1,0
8192,32,0,8193,8194,0.755938,4,0,0
8193,32,1,8195,8196,0.562513,4,0,0
8194,32,2,8197,8198,0.515488,0,0,0
8195,32,3,8199,8200,0.768040,1,0,0
8196,32,4,8201,8202,0.678228,4,0,0
8197,32,5,-1,-1,256.000000,-1,1,0
8198,32,6,-1,-1,256.000000,-1,1,1
8199,32,7,-1,-1,256.000000,-1,1,0
8200,32,8,8203,8204,0.372061,0,0,0
8201,32,9,-1,-1,256.000000,-1,1,1
8202,32,10,8205,8206,0.826812,0,0,0
8203,32,11,-1,-1,256.000000,-1,1,0
8204,32,12,-1,-1,256.000000,-1,1,1
8205,32,13,8207,8208,0.762250,0,0,0
8206,32,14,-1,-1,256.000000,-1,1,1
8207,32,15,-1,-1,256.000000,-1,1,1
8208,32,16,8209,8210,0.896600,3,0,0
8209,32,17,-1,-1,256.000000,-1,1,0
8210,32,18,8211,8212,0.805524,0,0,0
8211,32,19,-1,-1,256.000000,-1,1,1
8212,32,20,-1,-1,256.000000,-1,1,0
8448,33,0,8449,8450,0.755938,4,0,0
8449,33,1,8451,8452,0.562513,4,0,0
8450,33,2,8453,8454,0.510140,0,0,0
8451,33,3,-1,-1,256.000000,-1,1,0
8452,33,4,8455,8456,0.680536,4,0,0
8453,33,5,-1,-1,256.000000,-1,1,0
8454,33,6,8457,8458,0.988714,3,0,0
8455,33,7,-1,-1,256.000000,-1,1,1
8456,33,8,8459,8460,0.687393,4,0,0
8457,33,9,8461,8462,0.723434,3,0,0
8458,33,10,8463,8464,0.893008,0,0,0
8459,33,11,-1,-1,256.000000,-1,1,0
8460,33,12,-1,-1,256.000000,-1,1,1
8461,33,13,8465,8466,0.649714,0,0,0
8462,33,14,-1,-1,256.000000,-1,1,1
8463,33,15,-1,-1,256.000000,-1,1,0
8464,33,16,-1,-1,256.000000,-1,1,1
8465,33,17,-1,-1,256.000000,-1,1,1
8466,33,18,-1,-1,256.000000,-1,1,0
8704,34,0,8705,8706,0.699333,4,0,0
8705,34,1,8707,8708,0.562513,4,0,0
8706,34,2,8709,8710,0.515151,0,0,0
8707,34,3,-1,-1,256.000000,-1,1,0
8708,34,4,-1,-1,256.000000,-1,1,1
8709,34,5,-1,-1,256.000000,-1,1,0
8710,34,6,8711,8712,0.731078,4,0,0
8711,34,7,8713,8714,0.860362,0,0,0
8712,34,8,8715,8716,0.183311,2,0,0
8713,34,9,-1,-1,256.000000,-1,1,0
8714,34,10,-1,-1,256.000000,-1,1,1
8715,34,11,-1,-1,256.000000,-1,1,1
8716,34,12,8717,8718,0.649819,0,0,0
8717,34,13,-1,-1,256.000000,-1,1,1
8718,34,14,-1,-1,256.000000,-1,1,0
8960,35,0,8961,8962,0.755123,4,0,0
8961,35,1,8963,8964,0.562513,4,0,0
8962,35,2,8965,8966,0.512862,0,0,0
8963,35,3,-1,-1,256.000000,-1,1,0
8964,35,4,8967,8968,0.706297,4,0,0
8965,35,5,-1,-1,256.000000,-1,1,0
8966,35,6,8969,8970,0.958299,0,0,0
8967,35,7,-1,-1,256.000000,-1,1,1
8968,35,8,8971,8972,0.714748,4,0,0
8969,35,9,-1,-1,256.000000,-1,1,1
8970,35,10,-1,-1,256.000000,-1,1,0
8971,35,11,-1,-1,256.000000,-1,1,0
8972,35,12,-1,-1,256.000000,-1,1,1
9216,36,0,9217,9218,0.753744,4,0,0
9217,36,1,9219,9220,0.562513,4,0,0
9218,36,2,9221,9222,0.278311,2,0,0
9219,36,3,-1,-1,256.000000,-1,1,0
9220,36,4,9223,9224,0.691805,4,0,0
9221,36,5,9225,9226,0.945597,0,0,0
9222,36,6,-1,-1,256.000000,-1,1,0
9223,36,7,-1,-1,256.000000,-1,1,1
9224,36,8,9227,9228,0.823204,0,0,0
9225,36,9,9229,9230,0.182549,1,0,0
9226,36,10,-1,-1,256.000000,-1,1,0
9227,36,11,9231,9232,0.560701,0,0,0
9228,36,12,-1,-1,256.000000,-1,1,1
9229,36,13,-1,-1,256.000000,-1,1,1
9230,36,14,9233,9234,0.654153,0,0,0
9231,36,15,-1,-1,256.000000,-1,1,0
9232,36,16,9235,9236,0.778914,0,0,0
9233,36,17,-1,-1,256.000000,-1,1,1
9234,36,18,-1,-1,256.000000,-1,1,0
9235,36,19,-1,-1,256.000000,-1,1,1
9236,36,20,-1,-1,256.000000,-1,1,0
9472,37,0,9473,9474,0.733488,4,0,0
9473,37,1,9475,9476,0.689195,4,0,0
9474,37,2,9477,9478,0.512808,0,0,0
9475,37,3,9479,9480,0.734881,1,0,0
9476,37,4,9481,9482,0.690504,4,0,0
9477,37,5,-1,-1,256.000000,-1,1,0
9478,37,6,9483,9484,0.951144,0,0,0
9479,37,7,9485,9486,0.342099,0,0,0
9480,37,8,-1,-1,256.000000,-1,1,1
9481,37,9,-1,-1,256.000000,-1,1,0
9482,37,10,-1,-1,256.000000,-1,1,1
9483,37,11,9487,9488,0.656759,0,0,0
9484,37,12,-1,-1,256.000000,-1,1,0
9485,37,13,-1,-1,256.000000,-1,1,0
9486,37,14,-1,-1,256.000000,-1,1,1
9487,37,15,9489,9490,0.649180,0,0,0
9488,37,16,-1,-1,256.000000,-1,1,1
9489,37,17,-1,-1,256.000000,-1,1,1
9490,37,18,-1,-1,256.000000,-1,1,0
9728,38,0,9729,9730,0.753744,4,0,0
9729,38,1,9731,9732,0.562513,4,0,0
9730,38,2,9733,9734,0.615234,0,0,0
9731,38,3,-1,-1,256.000000,-1,1,0
9732,38,4,9735,9736,0.681982,4,0,0
9733,38,5,-1,-1,256.000000,-1,1,0
9734,38,6,-1,-1,256.000000,-1,1,1
9735,38,7,9737,9738,0.358689,0,0,0
9736,38,8,9739,9740,0.893171,3,0,0
9737,38,9,-1,-1,256.000000,-1,1,1
9738,38,10,9741,9742,0.364345,0,0,0
9739,38,11,9743,9744,0.728565,0,0,0
9740,38,12,-1,-1,256.000000,-1,1,1
9741,38,13,-1,-1,256.000000,-1,1,0
9742,38,14,-1,-1,256.000000,-1,1,1
9743,38,15,-1,-1,256.000000,-1,1,1
9744,38,16,-1,-1,256.000000,-1,1,0
9984,39,0,9985,9986,0.755396,4,0,0
9985,39,1,9987,9988,0.562513,4,0,0
9986,39,2,9989,9990,0.623860,0,0,0
9987,39,3,-1,-1,256.000000,-1,1,0
9988,39,4,9991,9992,0.681516,4,0,0
9989,39,5,-1,-1,256.000000,-1,1,0
9990,39,6,9993,9994,0.721487,3,0,0
9991,39,7,-1,-1,256.000000,-1,1,1
9992,39,8,9995,9996,0.683362,4,0,0
9993,39,9,9997,9998,0.652553,0,0,0
9994,39,10,-1,-1,256.000000,-1,1,1
9995,39,11,-1,-1,256.000000,-1,1,0
9996,39,12,9999,10000,0.890499,0,0,0
9997,39,13,-1,-1,256.000000,-1,1,1
9998,39,14,-1,-1,256.000000,-1,1,0
9999,39,15,10001,10002,0.866525,0,0,0
10000,39,16,-1,-1,256.000000,-1,1,1
10001,39,17,10003,10004,0.741638,0,0,0
10002,39,18,-1,-1,256.000000,-1,1,0
10003,39,19,-1,-1,256.000000,-1,1,1
10004,39,20,10005,10006,0.792381,0,0,0
10005,39,21,-1,-1,256.000000,-1,1,0
10006,39,22,-1,-1,256.000000,-1,1,1
10240,40,0,10241,10242,0.753464,4,0,0
10241,40,1,10243,10244,0.562513,4,0,0
10242,40,2,10245,10246,0.516365,0,0,0
10243,40,3,-1,-1,256.000000,-1,1,0
10244,40,4,10247,10248,0.695619,4,0,0
10245,40,5,-1,-1,256.000000,-1,1,0
10246,40,6,10249,10250,0.200869,1,0,0
10247,40,7,10251,10252,0.893340,1,0,0
10248,40,8,10253,10254,0.840608,0,0,0
10249,40,9,-1,-1,256.000000,-1,1,1
10250,40,10,10255,10256,0.642163,0,0,0
10251,40,11,-1,-1,256.000000,-1,1,1
10252,40,12,10257,10258,0.896383,1,0,0
10253,40,13,10259,10260,0.762594,0,0,0
10254,40,14,-1,-1,256.000000,-1,1,1
10255,40,15,-1,-1,256.000000,-1,1,1
10256,40,16,-1,-1,256.000000,-1,1,0
10257,40,17,-1,-1,256.000000,-1,1,0
10258,40,18,-1,-1,256.000000,-1,1,1
10259,40,19,-1,-1,256.000000,-1,1,1
10260,40,20,-1,-1,256.000000,-1,1,0
10496,41,0,10497,10498,0.755667,4,0,0
10497,41,1,10499,10500,0.562513,4,0,0
10498,41,2,10501,10502,0.512702,0,0,0
10499,41,3,10503,10504,0.627875,0,0,0
10500,41,4,10505,10506,0.679137,4,0,0
10501,41,5,-1,-1,256.000000,-1,1,0
10502,41,6,10507,10508,0.656711,0,0,0
10503,41,7,10509,10510,0.492047,0,0,0
10504,41,8,-1,-1,256.000000,-1,1,0
10505,41,9,-1,-1,256.000000,-1,1,1
10506,41,10,10511,10512,0.686910,4,0,0
10507,41,11,10513,10514,0.641743,0,0,0
10508,41,12,-1,-1,256.000000,-1,1,1
10509,41,13,-1,-1,256.000000,-1,1,0
10510,41,14,-1,-1,256.000000,-1,1,1
10511,41,15,-1,-1,256.000000,-1,1,0
10512,41,16,10515,10516,0.803238,0,0,0
10513,41,17,-1,-1,256.000000,-1,1,1
10514,41,18,-1,-1,256.000000,-1,1,0
10515,41,19,10517,10518,0.773636,0,0,0
10516,41,20,-1,-1,256.000000,-1,1,1
10517,41,21,-1,-1,256.000000,-1,1,1
10518,41,22,-1,-1,256.000000,-1,1,0
10752,42,0,10753,10754,0.754575,4,0,0
10753,42,1,10755,10756,0.562513,4,0,0
10754,42,2,10757,10758,0.156534,1,0,0
10755,42,3,-1,-1,256.000000,-1,1,0
10756,42,4,10759,10760,0.993368,0,0,0
10757,42,5,10761,10762,0.962395,0,0,0
10758,42,6,-1,-1,256.000000,-1,1,0
10759,42,7,-1,-1,256.000000,-1,1,1
10760,42,8,-1,-1,256.000000,-1,1,0
10761,42,9,-1,-1,256.000000,-1,1,1
10762,42,10,-1,-1,256.000000,-1,1,0
11008,43,0,11009,11010,0.753744,4,0,0
11009,43,1,11011,11012,0.562513,4,0,0
11010,43,2,11013,11014,0.512934,0,0,0
11011,43,3,-1,-1,256.000000,-1,1,0
11012,43,4,11015,11016,0.734374,4,0,0
11013,43,5,-1,-1,256.000000,-1,1,0
11014,43,6,11017,11018,0.983943,3,0,0
11015,43,7,11019,11020,0.681982,4,0,0
11016,43,8,11021,11022,0.837834,0,0,0
11017,43,9,-1,-1,256.000000,-1,1,1
11018,43,10,-1,-1,256.000000,-1,1,0
11019,43,11,-1,-1,256.000000,-1,1,1
11020,43,12,11023,11024,0.682905,4,0,0
11021,43,13,-1,-1,256.000000,-1,1,0
11022,43,14,-1,-1,256.000000,-1,1,1
11023,43,15,-1,-1,256.000000,-1,1,0
11024,43,16,-1,-1,256.000000,-1,1,1
11264,44,0,11265,11266,0.731365,4,0,0
11265,44,1,11267,11268,0.683822,4,0,0
11266,44,2,11269,11270,0.507851,0,0,0
11267,44,3,-1,-1,256.000000,-1,1,1
11268,44,4,11271,11272,0.849017,0,0,0
11269,44,5,-1,-1,256.000000,-1,1,0
11270,44,6,11273,11274,0.986464,3,0,0
11271,44,7,11275,11276,0.721653,0,0,0
11272,44,8,-1,-1,256.000000,-1,1,1
11273,44,9,-1,-1,256.000000,-1,1,1
11274,44,10,11277,11278,0.894630,0,0,0
11275,44,11,-1,-1,256.000000,-1,1,1
11276,44,12,-1,-1,256.000000,-1,1,0
11277,44,13,-1,-1,256.000000,-1,1,0
11278,44,14,-1,-1,256.000000,-1,1,1
11520,45,0,11521,11522,0.736553,4,0,0
11521,45,1,11523,11524,0.562513,4,0,0
11522,45,2,11525,11526,0.521260,0,0,0
11523,45,3,11527,11528,0.628805,0,0,0
11524,45,4,11529,11530,0.712545,4,0,0
11525,45,5,-1,-1,256.000000,-1,1,0
11526,45,6,-1,-1,256.000000,-1,1,1
11527,45,7,11531,11532,0.494166,0,0,0
11528,45,8,-1,-1,256.000000,-1,1,0
11529,45,9,-1,-1,256.000000,-1,1,1
11530,45,10,11533,11534,0.850634,0,0,0
11531,45,11,-1,-1,256.000000,-1,1,0
11532,45,12,-1,-1,256.000000,-1,1,1
11533,45,13,-1,-1,256.000000,-1,1,0
11534,45,14,-1,-1,256.000000,-1,1,1
11776,46,0,11777,11778,0.755938,4,0,0
11777,46,1,11779,11780,0.562513,4,0,0
11778,46,2,11781,11782,0.517699,0,0,0
11779,46,3,-1,-1,256.000000,-1,1,0
11780,46,4,11783,11784,0.688753,4,0,0
11781,46,5,-1,-1,256.000000,-1,1,0
11782,46,6,11785,11786,0.986478,3,0,0
11783,46,7,11787,11788,0.898760,1,0,0
11784,46,8,11789,11790,0.815854,0,0,0
11785,46,9,11791,11792,0.182549,1,0,0
11786,46,10,11793,11794,0.893033,0,0,0
11787,46,11,-1,-1,256.000000,-1,1,1
11788,46,12,11795,11796,0.901307,1,0,0
11789,46,13,-1,-1,256.000000,-1,1,0
11790,46,14,-1,-1,256.000000,-1,1,1
11791,46,15,-1,-1,256.000000,-1,1,1
11792,46,16,11797,11798,0.654758,0,0,0
11793,46,17,-1,-1,256.000000,-1,1,0
11794,46,18,-1,-1,256.000000,-1,1,1
11795,46,19,-1,-1,256.000000,-1,1,0
11796,46,20,-1,-1,256.000000,-1,1,1
11797,46,21,-1,-1,256.000000,-1,1,1
11798,46,22,-1,-1,256.000000,-1,1,0
12032,47,0,12033,12034,0.729108,4,0,0
12033,47,1,12035,12036,0.562513,4,0,0
12034,47,2,12037,12038,0.511614,0,0,0
12035,47,3,-1,-1,256.000000,-1,1,0
12036,47,4,12039,12040,0.709932,4,0,0
12037,47,5,-1,-1,256.000000,-1,1,0
12038,47,6,-1,-1,256.000000,-1,1,1
12039,47,7,12041,12042,0.591416,4,0,0
12040,47,8,12043,12044,0.711432,4,0,0
12041,47,9,12045,12046,0.588702,4,0,0
12042,47,10,-1,-1,256.000000,-1,1,1
